,Season,Date,Time,Home,Away,Home_goals,Away_goals,Result,AvgCH,AvgCD,AvgCA
0,2012/2013,2012-07-21,15:00:00,Sturm Graz,Salzburg,0,2,A,2.96,3.2,2.33
1,2012/2013,2012-07-21,17:30:00,Mattersburg,Neustadt,2,0,H,1.77,3.51,4.33
2,2012/2013,2012-07-21,17:30:00,SK Rapid,Wacker Innsbruck,4,0,H,1.45,4.09,7.09
3,2012/2013,2012-07-22,15:00:00,Admira,Ried,0,2,A,2.12,3.29,3.32
4,2012/2013,2012-07-25,17:30:00,Wolfsberger AC,Austria Vienna,0,1,A,3.53,3.28,2.0
5,2012/2013,2012-07-28,17:30:00,Austria Vienna,Sturm Graz,0,1,A,1.99,3.29,3.67
6,2012/2013,2012-07-28,17:30:00,Neustadt,SK Rapid,0,1,A,5.8,3.71,1.57
7,2012/2013,2012-07-28,17:30:00,Salzburg,Mattersburg,3,2,H,1.36,4.52,8.39
8,2012/2013,2012-07-29,15:00:00,Wacker Innsbruck,Admira,1,2,A,2.22,3.27,3.09
9,2012/2013,2012-07-29,17:30:00,Ried,Wolfsberger AC,0,2,A,1.53,3.8,6.16
10,2012/2013,2012-08-04,17:30:00,Wolfsberger AC,Salzburg,0,2,A,4.92,3.63,1.66
11,2012/2013,2012-08-04,17:30:00,Mattersburg,Sturm Graz,3,1,H,2.52,3.18,2.71
12,2012/2013,2012-08-05,15:00:00,SK Rapid,Austria Vienna,0,3,A,1.88,3.3,4.11
13,2012/2013,2012-08-05,15:00:00,Ried,Wacker Innsbruck,2,0,H,1.8,3.41,4.33
14,2012/2013,2012-08-05,17:30:00,Admira,Neustadt,4,0,H,1.52,3.87,6.18
15,2012/2013,2012-08-11,17:30:00,Sturm Graz,Wolfsberger AC,4,1,H,1.56,3.79,5.68
16,2012/2013,2012-08-11,17:30:00,Wacker Innsbruck,Mattersburg,2,1,H,2.22,3.2,3.15
17,2012/2013,2012-08-12,15:00:00,Neustadt,Ried,2,3,A,3.37,3.2,2.14
18,2012/2013,2012-08-12,15:00:00,Salzburg,SK Rapid,0,2,A,1.82,3.4,4.33
19,2012/2013,2012-08-12,17:30:00,Austria Vienna,Admira,1,0,H,1.71,3.57,4.69
20,2012/2013,2012-08-18,17:30:00,Wolfsberger AC,Mattersburg,0,1,A,2.52,3.25,2.68
21,2012/2013,2012-08-18,17:30:00,Admira,Salzburg,4,4,D,3.13,3.3,2.21
22,2012/2013,2012-08-18,17:30:00,SK Rapid,Sturm Graz,3,0,H,1.7,3.56,4.88
23,2012/2013,2012-08-18,17:30:00,Wacker Innsbruck,Neustadt,2,3,A,1.58,3.7,5.92
24,2012/2013,2012-08-19,15:00:00,Ried,Austria Vienna,0,1,A,2.5,3.17,2.75
25,2012/2013,2012-08-25,17:30:00,Austria Vienna,Wacker Innsbruck,2,0,H,1.49,3.98,6.55
26,2012/2013,2012-08-25,17:30:00,Mattersburg,Ried,2,1,H,2.39,3.21,2.88
27,2012/2013,2012-08-25,17:30:00,Salzburg,Neustadt,1,1,D,1.2,6.3,12.49
28,2012/2013,2012-08-25,17:30:00,Sturm Graz,Admira,3,2,H,1.98,3.38,3.63
29,2012/2013,2012-08-26,15:00:00,Wolfsberger AC,SK Rapid,1,0,H,4.97,3.56,1.69
30,2012/2013,2012-09-01,17:30:00,Admira,Wolfsberger AC,1,1,D,1.57,4.0,5.29
31,2012/2013,2012-09-01,17:30:00,Neustadt,Austria Vienna,0,2,A,4.62,3.51,1.74
32,2012/2013,2012-09-01,17:30:00,Ried,Sturm Graz,0,1,A,2.34,3.17,3.0
33,2012/2013,2012-09-01,17:30:00,Wacker Innsbruck,Salzburg,0,4,A,3.7,3.35,1.96
34,2012/2013,2012-09-02,15:00:00,SK Rapid,Mattersburg,3,0,H,1.52,3.99,6.01
35,2012/2013,2012-09-15,15:00:00,Wolfsberger AC,Neustadt,6,0,H,1.8,3.48,4.31
36,2012/2013,2012-09-15,17:30:00,SK Rapid,Admira,0,0,D,1.47,4.27,6.32
37,2012/2013,2012-09-15,17:30:00,Salzburg,Ried,1,1,D,1.52,3.95,6.08
38,2012/2013,2012-09-15,17:30:00,Sturm Graz,Wacker Innsbruck,3,0,H,1.48,4.04,6.71
39,2012/2013,2012-09-16,15:00:00,Mattersburg,Austria Vienna,2,4,A,3.25,3.27,2.15
40,2012/2013,2012-09-22,15:00:00,Admira,Mattersburg,5,1,H,1.93,3.44,3.74
41,2012/2013,2012-09-22,17:30:00,Austria Vienna,Salzburg,0,1,A,2.37,3.3,2.85
42,2012/2013,2012-09-22,17:30:00,Neustadt,Sturm Graz,1,1,D,4.66,3.55,1.72
